id,title,year,views,detail_link,thumbnail_url,cast,youtube_id,description
528,KeEletat,2015,327,https://yageru.com/info.php?pID=528&movNM=KeEletat,https://yageru.com/images/yt_movies/low_res/m528.jpg,"[{""name"": ""Ruta Mengisteab"", ""profile_image"": ""https://yageru.com/images/artists/a133.jpg""}, {""name"": ""Etsehiwot Abebe"", ""profile_image"": ""https://yageru.com/images/artists/a14.jpg""}, {""name"": ""Solomon Teka"", ""profile_image"": ""https://yageru.com/images/artists/a73.jpg""}]",An23VmzQk8k,N/A
527,Yetegnahu Mesloshal,2015,137,https://yageru.com/info.php?pID=527&movNM=Yetegnahu Mesloshal,https://yageru.com/images/blank_mov.jpg,"[{""name"": ""Mesfin Gashaw"", ""profile_image"": ""https://yageru.com/images/artists/a136.jpg""}, {""name"": ""Marta Ayalew"", ""profile_image"": ""https://yageru.com/images/artists/a137.jpg""}, {""name"": ""Hiwot Arage"", ""profile_image"": ""https://yageru.com/images/artists/a138.jpg""}]",kmTGbak4vH0,N/A
526,Ay Wend,2014,123,https://yageru.com/info.php?pID=526&movNM=Ay Wend,https://yageru.com/images/blank_mov.jpg,"[{""name"": ""Eskedar Abay (Pina)"", ""profile_image"": ""https://yageru.com/images/artists/a135.jpg""}, {""name"": ""Wesagnneh Hailu"", ""profile_image"": ""https://yageru.com/images/artists/a62.jpg""}]",N/A,N/A
525,Tsehai Yewetach Ken,2015,70,https://yageru.com/info.php?pID=525&movNM=Tsehai Yewetach Ken,https://yageru.com/images/blank_mov.jpg,"[{""name"": ""Tezera Lema"", ""profile_image"": ""https://yageru.com/images/artists/a44.jpg""}, {""name"": ""Enkusilassie Workagegnehu"", ""profile_image"": ""https://yageru.com/images/artists/a167.jpg""}]",3GKnmrHV-GE,N/A
524,Adel,2015,246,https://yageru.com/info.php?pID=524&movNM=Adel,https://yageru.com/images/yt_movies/low_res/m524.jpg,"[{""name"": ""Kalkidan Tibebu"", ""profile_image"": ""https://yageru.com/images/artists/a43.jpg""}, {""name"": ""Fantu Mandoye"", ""profile_image"": ""https://yageru.com/images/artists/a236.jpg""}, {""name"": ""Getnet Feyissa (Janbo)"", ""profile_image"": ""https://yageru.com/images/artists/a210.jpg""}]",DOoIlWRQZig,N/A
523,Yaltedagne Kitat,2015,12,https://yageru.com/info.php?pID=523&movNM=Yaltedagne Kitat,https://yageru.com/images/blank_mov.jpg,[],N/A,N/A
522,Tewedaj,2014,190,https://yageru.com/info.php?pID=522&movNM=Tewedaj,https://yageru.com/images/yt_movies/low_res/m522.jpg,"[{""name"": ""Solomon Muhe"", ""profile_image"": ""https://yageru.com/images/artists/a42.jpg""}, {""name"": ""Mulualem Getachew"", ""profile_image"": ""https://yageru.com/images/artists/a24.jpg""}, {""name"": ""Tewodros Kifle"", ""profile_image"": ""https://yageru.com/images/artists/a193.jpg""}, {""name"": ""Zelalem Yitagesu"", ""profile_image"": ""https://yageru.com/images/artists/a189.jpg""}]",tUeHv02U_Ww,N/A
521,Teshewidenal,2016,144,https://yageru.com/info.php?pID=521&movNM=Teshewidenal,https://yageru.com/images/yt_movies/low_res/m521.jpg,"[{""name"": ""Yohannes Tefera"", ""profile_image"": ""https://yageru.com/images/artists/a11.jpg""}, {""name"": ""Asrat Tadesse"", ""profile_image"": ""https://yageru.com/images/artists/a185.jpg""}]",RM919asxpTA,N/A
510,Restaw,2014,141,https://yageru.com/info.php?pID=510&movNM=Restaw,https://yageru.com/images/yt_movies/low_res/m510.jpg,"[{""name"": ""Makda Afework"", ""profile_image"": ""https://yageru.com/images/artists/a47.jpg""}, {""name"": ""Engdasew Habte (Teddy)"", ""profile_image"": ""https://yageru.com/images/artists/a21.jpg""}, {""name"": ""Eden Shimelis"", ""profile_image"": ""https://yageru.com/images/artists/a157.jpg""}]",a7ixm6g8myc,N/A
520,Meslogn,2015,80,https://yageru.com/info.php?pID=520&movNM=Meslogn,https://yageru.com/images/blank_mov.jpg,"[{""name"": ""Abraham Tsegay"", ""profile_image"": ""https://yageru.com/images/artists/a10.jpg""}, {""name"": ""Kaleb Walelign"", ""profile_image"": ""https://yageru.com/images/artists/a327.jpg""}]",pjm3x23cydo,N/A
